PubChem_lookup_name	PubChem_lookup_cid	PubChem_lookup_inchi
borneol	64685	InChI=1S/C10H18O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7-8,11H,4-6H2,1-3H3
spathulenol	522266	InChI=1S/C15H24O/c1-9-5-6-11-13(14(11,2)3)12-10(9)7-8-15(12,4)16/h10-13,16H,1,5-8H2,2-4H3
alpha-terpinene	7462	InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8H,5,7H2,1-3H3
alpha-terpineol	17100	InChI=1S/C10H18O/c1-8-4-6-9(7-5-8)10(2,3)11/h4,9,11H,5-7H2,1-3H3
carvacrol	10364	InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3
2-decanone	12741	InChI=1S/C10H20O/c1-3-4-5-6-7-8-9-10(2)11/h3-9H2,1-2H3
viridiflorol	12304981	InChI=1S/C15H26O/c1-9-5-6-10-12(9)13-11(14(13,2)3)7-8-15(10,4)16/h9-13,16H,5-8H2,1-4H3/t9-,10-,11+,12+,13-,15-/m0/s1
allo-aromadendrene	42608158	InChI=1S/C15H24/c1-9-6-8-12-14(15(12,3)4)13-10(2)5-7-11(9)13/h10-14H,1,5-8H2,2-4H3/t10-,11-,12?,13-,14?/m1/s1
(e)-geranyl acetone	1713001	InChI=1S/C13H22O/c1-11(2)7-5-8-12(3)9-6-10-13(4)14/h7,9H,5-6,8,10H2,1-4H3/b12-9-
myrtenol	10582	InChI=1S/C10H16O/c1-10(2)8-4-3-7(6-11)9(10)5-8/h3,8-9,11H,4-6H2,1-2H3
beta-damascenone	5366074	InChI=1S/C13H18O/c1-5-7-11(14)12-10(2)8-6-9-13(12,3)4/h5-8H,9H2,1-4H3/b7-5+
chrysanthenone	442463	InChI=1S/C10H14O/c1-6-4-5-7-9(11)8(6)10(7,2)3/h4,7-8H,5H2,1-3H3
p-cymen-8-ol	14529	InChI=1S/C10H14O/c1-8-4-6-9(7-5-8)10(2,3)11/h4-7,11H,1-3H3
geranyl heptanoate	3085924	InChI=1S/C17H30O2/c1-5-6-7-8-12-17(18)19-14-13-16(4)11-9-10-15(2)3/h10,13H,5-9,11-12,14H2,1-4H3
